"Timestamp";"FMT1";"FMT2";"FMT3";"ENGMT1";"ENGMT2";"ENGMT3"
"2024-01-01 01:00:00";172;27;75;377;219;691
"2024-01-01 02:00:00";171;27;74;374;215;691
"2024-01-01 03:00:00";170;27;75;364;216;690
"2024-01-01 04:00:00";171;27;75;378;223;697
"2024-01-01 05:00:00";171;27;76;368;216;708
"2024-01-01 06:00:00";172;27;77;371;218;709
"2024-01-01 07:00:00";172;27;78;372;226;708
"2024-01-01 08:00:00";173;27;75;365;244;677
"2024-01-01 09:00:00";174;27;70;371;262;652
"2024-01-01 10:00:00";174;27;63;370;256;652
"2024-01-01 11:00:00";175;27;63;371;256;654
"2024-01-01 12:00:00";175;27;63;358;259;655
"2024-01-01 13:00:00";173;27;60;367;256;652
"2024-01-01 14:00:00";170;27;61;357;261;645
"2024-01-01 15:00:00";170;27;61;369;279;644
"2024-01-01 16:00:00";173;27;70;367;290;651
"2024-01-01 17:00:00";175;27;78;375;302;657
"2024-01-01 18:00:00";176;27;79;375;314;657
"2024-01-01 19:00:00";175;27;78;365;294;656
"2024-01-01 20:00:00";176;27;77;372;286;656
"2024-01-01 21:00:00";175;27;78;368;284;657
"2024-01-01 22:00:00";175;27;78;381;284;655
"2024-01-01 23:00:00";175;28;79;392;290;651
"2024-01-02 00:00:00";173;28;79;411;295;638
"2024-01-02 01:00:00";173;27;79;403;295;637
"2024-01-02 02:00:00";171;27;80;396;308;637
"2024-01-02 03:00:00";172;27;82;398;309;637
"2024-01-02 04:00:00";172;27;83;396;309;642
"2024-01-02 05:00:00";174;28;84;381;308;655
"2024-01-02 06:00:00";176;33;86;394;315;660
"2024-01-02 07:00:00";179;35;89;418;354;664
"2024-01-02 08:00:00";178;35;82;421;355;665
"2024-01-02 09:00:00";179;34;77;412;355;677
"2024-01-02 10:00:00";180;34;67;411;343;701
"2024-01-02 11:00:00";178;34;61;414;341;694
"2024-01-02 12:00:00";174;34;60;399;334;704
"2024-01-02 13:00:00";164;33;61;385;314;694
"2024-01-02 14:00:00";172;33;62;397;330;695
"2024-01-02 15:00:00";168;32;62;422;360;713
"2024-01-02 16:00:00";169;31;71;404;373;716
"2024-01-02 17:00:00";180;31;76;408;376;700
"2024-01-02 18:00:00";170;31;79;405;380;680
"2024-01-02 19:00:00";166;31;79;411;391;684
"2024-01-02 20:00:00";165;31;79;413;406;677
"2024-01-02 21:00:00";164;31;79;413;421;679
"2024-01-02 22:00:00";164;32;80;433;420;677
"2024-01-02 23:00:00";164;33;81;438;418;667
"2024-01-03 00:00:00";164;32;81;466;419;654
"2024-01-03 01:00:00";164;31;81;445;417;654
"2024-01-03 02:00:00";165;32;82;442;412;655
"2024-01-03 03:00:00";163;31;82;419;405;655
"2024-01-03 04:00:00";164;31;82;390;403;659
"2024-01-03 05:00:00";165;32;82;406;412;674
"2024-01-03 06:00:00";167;33;82;412;432;705
"2024-01-03 07:00:00";169;34;82;404;434;698
"2024-01-03 08:00:00";169;34;80;410;428;697
"2024-01-03 09:00:00";171;33;79;413;414;695
"2024-01-03 10:00:00";172;34;63;404;391;697
"2024-01-03 11:00:00";170;34;57;417;395;703
"2024-01-03 12:00:00";166;33;57;409;401;721
